"","ID","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker","Creditability","Sex","Marital.Status"
"1",151,"< 0 EU",48,"Existing Paid","Appliances",3051,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","> 7 Years","Car or Other",54,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"2",152,"< 0 EU",21,"Critical Account","Car(New)",571,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Real Estate",65,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"3",153,"< 0 EU",18,"Existing Paid","Radio/Television",1345,"< 100 EU","1 <= ... < 4 Years","> 35%","None","4 - 7 Years","Real Estate",26,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"4",154,"< 0 EU",15,"Existing Paid","Business",806,"< 100 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",22,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"5",155,">= 200 EU",4,"Existing Paid","Car(New)",1494,"Unknown","< 1 Year","< 20%","None","1 - 4 Years","Real Estate",29,"None","Own","1","Unskilled Resident",">= 3","None","No","Good","Male","Single"
"6",156,"0 <= ... < 200 EU",21,"Critical Account","Business",3652,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","4 - 7 Years","Savings Agreement/Life Insurance",27,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"7",157,">= 200 EU",10,"Existing Paid","Car(New)",1240,"100 <= ... < 500 EU",">= 7 Years","< 20%","None","> 7 Years","Unknown",48,"None","For Free","1","Unskilled Resident",">= 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"8",158,"No Account",6,"Delay Paid","Radio/Television",935,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","1 - 4 Years","Real Estate",24,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"9",159,"< 0 EU",9,"Critical Account","Repairs",1288,"100 <= ... < 500 EU",">= 7 Years","25% - 35%","Guarantor","> 7 Years","Real Estate",48,"None","Own","2 or 3","Skilled Official",">= 3","None","No","Good","Male","Single"
"10",160,"No Account",24,"Existing Paid","Radio/Television",3235,"500 <= ... < 1000 EU",">= 7 Years","25% - 35%","None","1 - 4 Years","Car or Other",36,"None","Own","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"11",161,"0 <= ... < 200 EU",27,"None Taken","Business",8318,"< 100 EU",">= 7 Years","20% - 25%","None","> 7 Years","Unknown",42,"Stores","For Free","2 or 3","Highly Qualified","< 3","Registered","Yes","Bad","Female","Divorced/Separated/Married"
"12",162,"No Account",24,"Critical Account","Furniture/Equipment",5150,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Car or Other",33,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"13",163,"0 <= ... < 200 EU",6,"Existing Paid","Radio/Television",2063,"< 100 EU","< 1 Year","> 35%","None","4 - 7 Years","Car or Other",30,"None","Rent","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"14",164,"< 0 EU",30,"Critical Account","Car(Used)",10623,"< 100 EU",">= 7 Years","25% - 35%","None","> 7 Years","Unknown",38,"None","For Free","4 or 5","Highly Qualified",">= 3","Registered","Yes","Good","Male","Single"
"15",165,">= 200 EU",24,"Existing Paid","Radio/Television",5152,"< 100 EU","4 <= ... < 7 Years","> 35%","None","1 - 4 Years","Car or Other",25,"Bank","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"16",166,"No Account",12,"Existing Paid","Radio/Television",804,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Car or Other",38,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"17",167,"No Account",9,"Existing Paid","Furniture/Equipment",2301,"100 <= ... < 500 EU","< 1 Year","20% - 25%","None","> 7 Years","Savings Agreement/Life Insurance",22,"None","Rent","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"18",168,"No Account",18,"Critical Account","Furniture/Equipment",3780,"< 100 EU","< 1 Year","25% - 35%","None","1 - 4 Years","Car or Other",35,"None","Own","2 or 3","Highly Qualified","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"19",169,"< 0 EU",36,"Critical Account","Furniture/Equipment",5371,"< 100 EU","1 <= ... < 4 Years","25% - 35%","Guarantor","1 - 4 Years","Savings Agreement/Life Insurance",28,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"20",170,"0 <= ... < 200 EU",18,"Critical Account","Radio/Television",1795,"< 100 EU",">= 7 Years","25% - 35%","Guarantor","> 7 Years","Real Estate",48,"Bank","Rent","2 or 3","Unskilled Resident","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"21",171,"0 <= ... < 200 EU",48,"All Paid","Business",3566,"100 <= ... < 500 EU","4 <= ... < 7 Years","> 35%","None","1 - 4 Years","Car or Other",30,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"22",172,"0 <= ... < 200 EU",16,"Critical Account","Car(New)",1175,"< 100 EU","Unemployed","20% - 25%","None","4 - 7 Years","Car or Other",68,"None","For Free","4 or 5","Unemployed Non-resident","< 3","Registered","Yes","Good","Male","Single"
"23",173,"0 <= ... < 200 EU",12,"Existing Paid","Radio/Television",2930,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","< 1 Year","Real Estate",27,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"24",174,"< 0 EU",24,"Existing Paid","Radio/Television",2384,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Real Estate",64,"Bank","Rent","1","Unskilled Resident","< 3","None","Yes","Good","Male","Single"
"25",175,"< 0 EU",6,"Existing Paid","Car(New)",662,"< 100 EU","< 1 Year","25% - 35%","None","> 7 Years","Real Estate",41,"None","Own","1","Unskilled Resident",">= 3","Registered","Yes","Good","Male","Single"
"26",176,"No Account",12,"Critical Account","Radio/Television",930,"Unknown",">= 7 Years","> 35%","None","> 7 Years","Real Estate",65,"None","Own","Above 6","Skilled Official","< 3","None","Yes","Good","Male","Single"
"27",177,"< 0 EU",12,"All Paid","Radio/Television",626,"< 100 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Real Estate",24,"Bank","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"28",178,"No Account",12,"Critical Account","Furniture/Equipment",1402,"500 <= ... < 1000 EU","4 <= ... < 7 Years","25% - 35%","None","> 7 Years","Car or Other",37,"None","Rent","1","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"29",179,">= 200 EU",9,"Existing Paid","Radio/Television",745,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","1 - 4 Years","Real Estate",28,"None","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"30",180,"No Account",6,"Existing Paid","Furniture/Equipment",1543,">= 1000 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Real Estate",33,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"31",181,"< 0 EU",12,"All Paid","Retraining",339,"< 100 EU",">= 7 Years","> 35%","None","< 1 Year","Car or Other",45,"Bank","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"32",182,"0 <= ... < 200 EU",30,"Delay Paid","Radio/Television",1919,"100 <= ... < 500 EU","< 1 Year","> 35%","None","4 - 7 Years","Unknown",30,"Stores","Own","2 or 3","Highly Qualified","< 3","None","Yes","Bad","Male","Single"
"33",183,"< 0 EU",6,"Critical Account","Radio/Television",338,"500 <= ... < 1000 EU",">= 7 Years","> 35%","None","> 7 Years","Car or Other",52,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"34",184,"No Account",11,"Critical Account","Car(New)",1393,"< 100 EU","< 1 Year","> 35%","None","> 7 Years","Car or Other",35,"None","Own","2 or 3","Highly Qualified","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"35",185,"No Account",24,"Critical Account","Education",1597,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Unknown",54,"None","For Free","2 or 3","Skilled Official",">= 3","None","Yes","Good","Male","Single"
"36",186,"< 0 EU",30,"Existing Paid","Furniture/Equipment",2406,"< 100 EU","4 <= ... < 7 Years","> 35%","None","> 7 Years","Real Estate",23,"None","Rent","1","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"37",187,"< 0 EU",24,"Existing Paid","Radio/Television",1282,"100 <= ... < 500 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Car or Other",32,"None","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"38",188,"< 0 EU",14,"Existing Paid","Car(New)",3973,"< 100 EU","Unemployed","< 20%","None","> 7 Years","Unknown",22,"None","For Free","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"39",189,"No Account",24,"Delay Paid","Car(New)",717,"Unknown",">= 7 Years","> 35%","None","> 7 Years","Car or Other",54,"None","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"40",190,"No Account",24,"Existing Paid","Radio/Television",1278,"< 100 EU",">= 7 Years","> 35%","None","< 1 Year","Real Estate",36,"None","Own","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Single"
"41",191,">= 200 EU",42,"Critical Account","Car(Used)",4796,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Unknown",56,"None","For Free","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"42",192,"0 <= ... < 200 EU",9,"Existing Paid","Car(New)",276,"< 100 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Real Estate",22,"None","Rent","1","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"43",193,"0 <= ... < 200 EU",15,"Existing Paid","Radio/Television",1444,"Unknown","< 1 Year","> 35%","None","< 1 Year","Savings Agreement/Life Insurance",23,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"44",194,"< 0 EU",42,"Existing Paid","Radio/Television",3965,"< 100 EU","< 1 Year","> 35%","None","4 - 7 Years","Car or Other",34,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"45",195,"< 0 EU",15,"Existing Paid","Car(New)",1721,"< 100 EU","< 1 Year","20% - 25%","None","4 - 7 Years","Real Estate",36,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"46",196,"No Account",15,"Existing Paid","Car(Used)",3029,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","1 - 4 Years","Car or Other",33,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"47",197,"0 <= ... < 200 EU",14,"Existing Paid","Business",1410,"500 <= ... < 1000 EU",">= 7 Years","< 20%","None","1 - 4 Years","Real Estate",35,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"48",198,"0 <= ... < 200 EU",12,"Existing Paid","Car(New)",1223,"< 100 EU",">= 7 Years","< 20%","None","< 1 Year","Real Estate",46,"None","Rent","2 or 3","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"49",199,"0 <= ... < 200 EU",12,"Existing Paid","Car(New)",1295,"< 100 EU","< 1 Year","25% - 35%","None","< 1 Year","Car or Other",25,"None","Rent","1","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"50",200,"< 0 EU",24,"All Paid","Furniture/Equipment",3349,"500 <= ... < 1000 EU","< 1 Year","> 35%","None","> 7 Years","Unknown",30,"None","For Free","1","Skilled Official",">= 3","Registered","Yes","Bad","Male","Single"
"51",201,"0 <= ... < 200 EU",60,"Delay Paid","Radio/Television",7418,"Unknown","1 <= ... < 4 Years","< 20%","None","< 1 Year","Real Estate",27,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Single"
"52",202,"0 <= ... < 200 EU",39,"Critical Account","Radio/Television",4933,"< 100 EU","4 <= ... < 7 Years","20% - 25%","Guarantor","1 - 4 Years","Real Estate",25,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"53",203,">= 200 EU",6,"Critical Account","Education",1047,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","> 7 Years","Savings Agreement/Life Insurance",50,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"54",204,"No Account",12,"Existing Paid","Radio/Television",2171,"< 100 EU","< 1 Year","20% - 25%","None","1 - 4 Years","Car or Other",29,"Bank","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"55",205,">= 200 EU",36,"Existing Paid","Radio/Television",5848,"< 100 EU","1 <= ... < 4 Years","> 35%","None","< 1 Year","Car or Other",24,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"56",206,"0 <= ... < 200 EU",12,"Existing Paid","Car(New)",6078,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","1 - 4 Years","Car or Other",32,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"57",207,"No Account",12,"Existing Paid","Furniture/Equipment",1123,"500 <= ... < 1000 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Car or Other",29,"None","Rent","1","Unskilled Resident","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"58",208,"< 0 EU",18,"Critical Account","Furniture/Equipment",1049,"< 100 EU","< 1 Year","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",21,"None","Rent","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"59",209,"No Account",15,"Existing Paid","Radio/Television",1213,"500 <= ... < 1000 EU",">= 7 Years","> 35%","None","4 - 7 Years","Savings Agreement/Life Insurance",47,"Stores","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"60",210,"No Account",24,"Existing Paid","Radio/Television",1376,"500 <= ... < 1000 EU","4 <= ... < 7 Years","> 35%","None","< 1 Year","Car or Other",28,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
