ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability
151,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,3,1,1,1,0
152,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,1,1,1,1
153,1,18,2,3,1345,1,3,4,4,1,3,1,26,3,2,1,3,1,1,1,0
154,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,1,1
155,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,2,1
156,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,1,1,1,1
157,3,10,2,0,1240,2,5,1,2,1,4,4,48,3,3,1,2,2,1,1,0
158,4,6,3,3,935,1,3,3,2,1,2,1,24,3,2,1,3,1,1,1,1
159,1,9,4,5,1288,2,5,3,3,3,4,1,48,3,2,2,3,2,1,2,1
160,4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,1,2,1,1
161,2,27,0,9,8318,1,5,2,2,1,4,4,42,2,3,2,4,1,2,1,0
162,4,24,4,2,5150,1,5,4,3,1,4,3,33,3,2,1,3,1,2,1,1
163,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,1,1
164,1,30,4,1,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,2,1,1
165,3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,1,1,1,1
166,4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,1,1,1,1
167,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,1,1,1,1
168,4,18,4,2,3780,1,2,3,1,1,2,3,35,3,2,2,4,1,2,1,1
169,1,36,4,2,5371,1,3,3,3,3,2,2,28,3,2,2,3,1,1,1,1
170,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1,1
171,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,1,1
172,2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1,1
173,2,12,2,3,2930,1,4,2,2,1,1,1,27,3,2,1,3,1,1,1,1
174,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,1,1
175,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,2,2,1,1
176,4,12,4,3,930,5,5,4,3,1,4,1,65,3,2,4,3,1,1,1,1
177,1,12,1,3,626,1,3,4,2,1,4,1,24,1,2,1,2,1,1,1,0
178,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,2,1,1
179,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,1,1,1,0
180,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,1,1
181,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,1,1,1,1
182,2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,1,1,1,0
183,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1,1
184,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1,1
185,4,24,4,6,1597,1,5,4,3,1,4,4,54,3,3,2,3,2,1,1,1
186,1,30,2,2,2406,1,4,4,2,1,4,1,23,3,1,1,3,1,1,1,0
187,1,24,2,3,1282,2,3,4,2,1,2,3,32,3,2,1,2,1,1,1,0
188,1,14,2,0,3973,1,1,1,3,1,4,4,22,3,3,1,3,1,1,1,1
189,4,24,3,0,717,5,5,4,4,1,4,3,54,3,2,2,3,1,2,1,1
190,4,24,2,3,1278,1,5,4,3,1,1,1,36,3,2,1,4,1,2,1,1
191,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1,1
192,2,9,2,0,276,1,3,4,4,1,4,1,22,3,1,1,2,1,1,1,1
193,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1,1
194,1,42,2,3,3965,1,2,4,3,1,3,3,34,3,2,1,3,1,1,1,0
195,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,1,1
196,4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,1,1,1,1
197,2,14,2,9,1410,3,5,1,4,1,2,1,35,3,2,1,3,1,2,1,1
198,2,12,2,0,1223,1,5,1,1,1,1,1,46,3,1,2,3,1,1,1,0
199,2,12,2,0,1295,1,2,3,2,1,1,3,25,3,1,1,3,1,1,1,0
200,1,24,1,2,3349,3,2,4,3,1,4,4,30,3,3,1,3,2,2,1,0
201,2,60,3,3,7418,5,3,1,3,1,1,1,27,3,2,1,2,1,1,1,1
202,2,39,4,3,4933,1,4,2,3,3,2,1,25,3,2,2,3,1,1,1,0
203,3,6,4,6,1047,1,3,2,2,1,4,2,50,3,2,1,2,1,1,1,1
204,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,1,1
205,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,1,1
206,2,12,2,0,6078,1,4,2,3,1,2,3,32,3,2,1,3,1,1,1,1
207,4,12,2,2,1123,3,3,4,2,1,4,3,29,3,1,1,2,1,1,1,0
208,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1,1
209,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,2,1,1
210,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1,1
211,4,12,4,3,1240,5,5,4,2,1,2,1,38,3,2,2,3,1,2,1,1
212,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,1,1,1,1
213,1,24,2,2,1747,1,2,4,3,2,1,2,24,3,2,1,2,1,1,2,1
214,2,18,4,2,3612,1,5,3,2,1,4,2,37,3,2,1,3,1,2,2,1
215,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,1,1,1,1
216,4,18,0,9,4165,1,3,2,3,1,2,3,36,2,2,2,3,2,1,1,0
217,1,24,2,0,4817,1,4,2,3,2,3,2,31,3,2,1,3,1,2,1,0
218,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,1,2,1,0
219,4,6,2,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,1,1,1
220,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1,1
221,2,12,2,9,1037,2,4,3,3,1,4,1,39,3,2,1,2,1,1,1,1
222,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,1,2,1,1
223,1,48,1,9,7685,1,4,2,2,3,4,3,37,3,1,1,3,1,1,1,0
224,2,27,4,3,2520,3,3,4,3,1,2,2,23,3,2,2,2,1,1,1,0
225,4,6,4,3,700,5,5,4,3,1,4,4,36,3,3,2,3,1,1,1,1
226,4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,1,1
227,2,9,4,6,1136,4,5,4,3,1,3,4,32,3,3,2,3,2,1,1,0
228,4,12,2,0,1884,1,5,4,3,1,4,3,39,3,2,1,4,1,2,1,1
229,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1,1
230,2,30,4,0,5234,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,0
231,4,33,3,9,2764,1,3,2,2,1,2,3,26,3,2,2,3,1,2,1,1
232,4,10,4,0,1231,1,5,3,3,1,4,1,32,3,2,2,2,2,1,2,1
233,2,18,4,0,1056,1,5,3,3,3,3,1,30,3,2,2,3,1,1,1,0
234,2,15,2,0,2631,2,3,2,2,1,4,3,28,3,1,2,3,1,2,1,0
235,4,12,2,3,2279,5,3,4,3,1,4,4,37,3,3,1,3,1,2,1,1
236,2,48,4,2,5096,1,3,2,2,1,3,3,30,3,2,1,4,1,2,1,0
237,2,12,2,3,766,3,3,4,3,1,3,1,66,3,2,1,2,1,1,1,0
238,1,12,4,0,2121,1,3,4,3,1,2,2,30,3,2,2,3,1,1,1,1
239,4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,1,2,1,1
240,2,48,0,0,8358,3,2,1,2,1,1,3,30,3,2,2,3,1,1,1,1
241,3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,1,1,1,1
242,2,21,2,9,2767,2,5,4,1,1,2,3,61,3,1,2,2,1,1,1,0
243,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1,1
