Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,Logistic Regression,Logistic Regression (Bad),Logistic Regression (Good)
Male,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,2118.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,37.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.2499295365802663,0.7500704634197337
Female,< 0 EU,48.0,Existing Paid,Business,4308.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.9197090110067981,0.08029098899320188
Female,0 <= ... < 200 EU,18.0,Critical Account,Furniture/Equipment,3612.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,37.0,None,Own,1,Skilled Official,< 3,Registered,No,Divorced/Separated/Married,Good,Good,0.10976328433340354,0.8902367156665965
Male,0 <= ... < 200 EU,24.0,None Taken,Business,4241.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Real Estate,36.0,None,Own,4 or 5,Unskilled Resident,< 3,Registered,Yes,Single,Bad,Good,0.19637729921580394,0.8036227007841961
Male,< 0 EU,24.0,Existing Paid,Car(New),4817.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.5201348886053975,0.47986511139460253
Female,< 0 EU,12.0,Existing Paid,Education,1200.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,23.0,Bank,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Bad,0.5822212222828467,0.4177787777171533
Female,No Account,12.0,All Paid,Retraining,3447.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,35.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Divorced/Separated/Married,Good,Good,0.23653808913738406,0.763461910862616
Male,0 <= ... < 200 EU,12.0,Existing Paid,Car(New),685.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,25.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.4395430965763627,0.5604569034236373
Female,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,1670.0,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Car or Other,22.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.500661335205909,0.4993386647940909
Female,No Account,12.0,Existing Paid,Furniture/Equipment,1736.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,31.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.06437470152177227,0.9356252984782277
Male,No Account,18.0,None Taken,Business,4165.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,36.0,Stores,Own,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,Good,0.3760414435974966,0.6239585564025034
Female,No Account,21.0,Critical Account,Furniture/Equipment,2288.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.06871193414061938,0.9312880658593806
Female,0 <= ... < 200 EU,27.0,Existing Paid,Business,2528.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,32.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Divorced/Separated/Married,Good,Bad,0.5802399570337353,0.41976004296626473
Female,< 0 EU,18.0,Existing Paid,Car(New),1216.0,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,23.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.8748332746098992,0.1251667253901007
