Feature 1,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Sex,Marital.Status,ID,Creditability,Naive Bayes,Naive Bayes (Bad),Naive Bayes (Good)
697.0,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,2118.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,37.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Male,Single,847.0,Good,Good,0.026989490252085867,0.9730105097479141
668.0,< 0 EU,48.0,Existing Paid,Business,4308.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,818.0,Bad,Bad,0.971352840829029,0.028647159170971128
64.0,0 <= ... < 200 EU,18.0,Critical Account,Furniture/Equipment,3612.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,37.0,None,Own,1,Skilled Official,< 3,Registered,No,Female,Divorced/Separated/Married,214.0,Good,Good,0.14830506043108715,0.8516949395689128
534.0,0 <= ... < 200 EU,24.0,None Taken,Business,4241.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Real Estate,36.0,None,Own,4 or 5,Unskilled Resident,< 3,Registered,Yes,Male,Single,684.0,Bad,Bad,0.5753637708915408,0.42463622910845916
67.0,< 0 EU,24.0,Existing Paid,Car(New),4817.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Male,Single,217.0,Bad,Bad,0.7796163512993426,0.2203836487006573
622.0,< 0 EU,12.0,Existing Paid,Education,1200.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,23.0,Bank,Rent,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,772.0,Good,Bad,0.8492283220934365,0.1507716779065635
347.0,No Account,12.0,All Paid,Retraining,3447.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,35.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Female,Divorced/Separated/Married,497.0,Good,Good,0.04338928847068613,0.9566107115293138
491.0,0 <= ... < 200 EU,12.0,Existing Paid,Car(New),685.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,25.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Male,Divorced/Separated/Married,641.0,Bad,Bad,0.7034482310460529,0.2965517689539471
761.0,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,1670.0,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Car or Other,22.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,911.0,Bad,Good,0.20920967434588691,0.790790325654113
457.0,No Account,12.0,Existing Paid,Furniture/Equipment,1736.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,31.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Female,Divorced/Separated/Married,607.0,Good,Good,0.06666717008148224,0.9333328299185177
