Account.Balance,Sex,Payment.Status.of.Previous.Credit,Purpose,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Marital.Status,Duration.of.Credit..month.,Credit.Amount,Age..years.,Telephone,Foreign.Worker,Creditability,ID,Random Forest,Random Forest (Bad),Random Forest (Good)
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,>= 3,Single,9.0,2118.0,37.0,None,Yes,Good,847.0,Good,0.38571428571428573,0.6142857142857143
< 0 EU,Female,Existing Paid,Business,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,48.0,4308.0,24.0,None,Yes,Bad,818.0,Bad,0.77,0.22999999999999998
0 <= ... < 200 EU,Female,Critical Account,Furniture/Equipment,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,3612.0,37.0,Registered,No,Good,214.0,Good,0.24333333333333332,0.7566666666666666
0 <= ... < 200 EU,Male,None Taken,Business,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Real Estate,None,Own,4 or 5,Unskilled Resident,< 3,Single,24.0,4241.0,36.0,Registered,Yes,Bad,684.0,Bad,0.6340476190476191,0.3659523809523809
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,4 <= ... < 7 Years,20% - 25%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,24.0,4817.0,31.0,Registered,Yes,Bad,217.0,Bad,0.6828571428571428,0.31714285714285717
< 0 EU,Female,Existing Paid,Education,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,Bank,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1200.0,23.0,Registered,Yes,Good,772.0,Bad,0.5833333333333334,0.4166666666666667
No Account,Female,All Paid,Retraining,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,None,Own,1,Unskilled Resident,>= 3,Divorced/Separated/Married,12.0,3447.0,35.0,None,Yes,Good,497.0,Good,0.25857142857142856,0.7414285714285714
0 <= ... < 200 EU,Male,Existing Paid,Car(New),< 100 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,Bank,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,685.0,25.0,None,Yes,Bad,641.0,Bad,0.8066666666666666,0.19333333333333333
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,9.0,1670.0,22.0,Registered,Yes,Bad,911.0,Good,0.4691666666666666,0.5308333333333334
No Account,Female,Existing Paid,Furniture/Equipment,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,1736.0,31.0,None,Yes,Good,607.0,Good,0.175,0.825
No Account,Male,None Taken,Business,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,Stores,Own,2 or 3,Skilled Official,>= 3,Single,18.0,4165.0,36.0,None,Yes,Bad,216.0,Good,0.4814285714285715,0.5185714285714285
No Account,Female,Critical Account,Furniture/Equipment,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,21.0,2288.0,23.0,Registered,Yes,Good,437.0,Good,0.05246753246753246,0.9475324675324674
0 <= ... < 200 EU,Female,Existing Paid,Business,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,>= 3,Divorced/Separated/Married,27.0,2528.0,32.0,Registered,Yes,Good,786.0,Good,0.4583333333333333,0.5416666666666666
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1216.0,23.0,Registered,Yes,Bad,218.0,Bad,0.8142857142857143,0.18571428571428572
No Account,Male,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,12.0,976.0,35.0,None,Yes,Good,478.0,Good,0.0,1.0
