Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,ID,SVM,SVM (Bad),SVM (Good),Fold
Male,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,2118.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,37.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Single,Good,847.0,Good,0.34712974399682356,0.6528702560031763,1
Female,< 0 EU,48.0,Existing Paid,Business,4308.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,818.0,Bad,0.6242206621609343,0.37577933783906564,1
Female,0 <= ... < 200 EU,18.0,Critical Account,Furniture/Equipment,3612.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,37.0,None,Own,1,Skilled Official,< 3,Registered,No,Divorced/Separated/Married,Good,214.0,Good,0.2154378874759731,0.7845621125240269,1
Male,0 <= ... < 200 EU,24.0,None Taken,Business,4241.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Real Estate,36.0,None,Own,4 or 5,Unskilled Resident,< 3,Registered,Yes,Single,Bad,684.0,Good,0.34395692590519455,0.6560430740948053,1
Male,< 0 EU,24.0,Existing Paid,Car(New),4817.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Bad,217.0,Bad,0.6332094712850178,0.36679052871498213,1
Female,< 0 EU,12.0,Existing Paid,Education,1200.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,23.0,Bank,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,772.0,Good,0.19799985205754017,0.8020001479424597,1
Female,No Account,12.0,All Paid,Retraining,3447.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,35.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Divorced/Separated/Married,Good,497.0,Bad,0.60569262952505,0.39430737047494996,1
Male,0 <= ... < 200 EU,12.0,Existing Paid,Car(New),685.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,25.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,641.0,Bad,0.5069361981184147,0.49306380188158544,1
Female,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,1670.0,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Car or Other,22.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,911.0,Bad,0.4361561807804257,0.5638438192195743,1
Female,No Account,12.0,Existing Paid,Furniture/Equipment,1736.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,31.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,607.0,Good,0.217338515240449,0.7826614847595511,1
